[1] ROUGE-1: 8.17	ROUGE-2: 7.85	ROUGE-L: 7.31
[2] ROUGE-1: 10.33	ROUGE-2: 9.93	ROUGE-L: 8.36
[3] ROUGE-1: 16.01	ROUGE-2: 15.87	ROUGE-L: 8.39
[4] ROUGE-1: 30.58	ROUGE-2: 23.69	ROUGE-L: 17.42
[5] ROUGE-1: 18.60	ROUGE-2: 15.29	ROUGE-L: 11.63
[6] ROUGE-1: 11.41	ROUGE-2: 10.96	ROUGE-L: 8.26
[7] ROUGE-1: 34.48	ROUGE-2: 32.14	ROUGE-L: 24.83
[8] ROUGE-1: 44.31	ROUGE-2: 39.90	ROUGE-L: 41.00
[9] ROUGE-1: 8.18	ROUGE-2: 7.32	ROUGE-L: 5.62
[10] ROUGE-1: 11.07	ROUGE-2: 7.82	ROUGE-L: 7.98
[11] ROUGE-1: 6.08	ROUGE-2: 5.24	ROUGE-L: 4.50
[12] ROUGE-1: 4.28	ROUGE-2: 4.02	ROUGE-L: 2.79
[13] ROUGE-1: 12.45	ROUGE-2: 12.12	ROUGE-L: 8.39
[14] ROUGE-1: 6.75	ROUGE-2: 6.06	ROUGE-L: 4.49
[15] ROUGE-1: 18.27	ROUGE-2: 14.34	ROUGE-L: 10.77
[16] ROUGE-1: 7.89	ROUGE-2: 6.92	ROUGE-L: 5.91
[17] ROUGE-1: 8.20	ROUGE-2: 7.35	ROUGE-L: 6.22
[18] ROUGE-1: 5.98	ROUGE-2: 5.46	ROUGE-L: 4.42
[19] ROUGE-1: 9.92	ROUGE-2: 9.58	ROUGE-L: 8.06
[20] ROUGE-1: 16.86	ROUGE-2: 15.81	ROUGE-L: 11.85
[21] ROUGE-1: 30.47	ROUGE-2: 26.70	ROUGE-L: 24.78
[22] ROUGE-1: 75.59	ROUGE-2: 74.19	ROUGE-L: 49.24
[23] ROUGE-1: 13.00	ROUGE-2: 12.62	ROUGE-L: 13.00
[24] ROUGE-1: 40.39	ROUGE-2: 29.58	ROUGE-L: 27.33
[25] ROUGE-1: 8.74	ROUGE-2: 7.39	ROUGE-L: 6.78
[26] ROUGE-1: 38.51	ROUGE-2: 33.68	ROUGE-L: 22.17
[27] ROUGE-1: 24.17	ROUGE-2: 21.14	ROUGE-L: 14.56
[28] ROUGE-1: 2.89	ROUGE-2: 2.84	ROUGE-L: 1.91
[29] ROUGE-1: 18.24	ROUGE-2: 17.95	ROUGE-L: 12.41
[30] ROUGE-1: 7.69	ROUGE-2: 6.47	ROUGE-L: 5.28
[31] ROUGE-1: 6.70	ROUGE-2: 6.43	ROUGE-L: 4.76
[32] ROUGE-1: 6.61	ROUGE-2: 6.05	ROUGE-L: 4.76
[33] ROUGE-1: 9.68	ROUGE-2: 8.72	ROUGE-L: 6.02
[34] ROUGE-1: 11.90	ROUGE-2: 11.22	ROUGE-L: 9.74
